source,dest,dist,calls,cost
1151,1150,1.30480188295,474,618.4760925183
1151,1151,0.0,210,0.0
1151,1184,1.82761283173,519,948.53105966787
1151,1187,2.4006529561,1088,2611.9104162368003
1151,1203,2.19845684283,58,127.51049688414001
1151,1226,1.09657043298,87,95.40162766926
1151,1227,2.15024414039,167,359.09077144513
1151,1228,2.04164143833,498,1016.7374362883401
1151,1229,2.15119759948,174,374.30838230952
1151,1273,1.91060987396,495,945.7518876102
1151,1309,1.48463232502,711,1055.57358308922
1151,1323,0.783623811705,311,243.707005440255
1151,1354,2.69760054078,350,944.160189273
1151,1372,2.44943950283,598,1464.76482269234
1151,1225,1.00868033634,166,167.44093583244
1151,1325,1.71513570908,361,619.16399097788
1162,1123,1.26023968856,694,874.60634386064
1162,1160,1.44134974397,569,820.12800431893
1162,1161,1.05779619156,595,629.3887339782
